timestamp,open,high,low,close,volume
2026-03-19 18:30:00,368.6,372.6,365.4,366.75,17077194.0
2026-03-22 18:30:00,364.85,364.9,355.25,356.55,16980244.0
2026-03-23 18:30:00,363.0,370.95,361.4,366.85,19990983.0
2026-03-24 18:30:00,368.95,378.0,363.0,371.1,42442702.0
2026-03-26 18:30:00,367.55,368.85,362.5,366.15,28928069.0
2026-03-29 18:30:00,361.0,362.95,351.65,353.4,39762775.0
2026-03-31 18:30:00,363.8,364.05,355.0,356.05,21245776.0
2026-04-01 18:30:00,350.3,359.85,345.5,358.0,22056018.0
2026-04-05 18:30:00,358.0,361.4,350.1,360.55,18320378.0
2026-04-06 18:30:00,357.0,364.0,357.0,362.95,23655155.0
2026-04-07 18:30:00,377.0,381.15,369.45,380.15,30162218.0
2026-04-08 18:30:00,377.0,378.7,369.45,371.9,12422256.0
2026-04-09 18:30:00,373.5,379.15,372.35,374.55,23751660.0
2026-04-12 18:30:00,367.95,373.0,365.6,371.9,30027087.0
2026-04-14 18:30:00,375.5,383.0,375.5,382.4,19100372.0
2026-04-15 18:30:00,383.15,386.45,378.25,379.15,12060624.0
2026-04-16 18:30:00,379.3,385.2,376.65,383.6,11626179.0
2026-04-19 18:30:00,384.1,386.0,378.0,379.2,11146713.0
2026-04-20 18:30:00,381.45,383.15,378.35,382.15,12323488.0
2026-04-21 18:30:00,378.1,382.8,376.25,376.85,14471487.0
2026-04-22 18:30:00,370.05,375.95,367.65,370.4,27628052.0
2026-04-23 18:30:00,370.6,372.8,367.65,370.85,19678907.0
2026-04-26 18:30:00,375.0,380.45,373.25,376.8,11559552.0
2026-04-27 18:30:00,372.0,383.25,372.0,377.95,12852733.0
2026-04-28 18:30:00,378.0,386.05,377.55,382.0,7913344.0
2026-04-29 18:30:00,376.6,386.85,375.3,383.3,24812228.0
2026-05-03 18:30:00,378.9,382.05,363.0,371.65,74467483.0
2026-05-04 18:30:00,371.0,375.5,368.75,371.35,19084772.0
2026-05-05 18:30:00,374.0,380.0,365.65,376.6,36195481.0
2026-05-06 18:30:00,376.1,382.45,374.3,379.4,27286751.0
2026-05-07 18:30:00,379.0,381.5,374.0,380.8,16183126.0
2026-05-10 18:30:00,376.1,386.0,374.4,381.05,21347878.0
2026-05-11 18:30:00,380.2,381.05,374.55,376.0,13065308.0
2026-05-12 18:30:00,377.9,384.0,376.85,377.65,16267456.0
2026-05-13 18:30:00,378.0,385.0,375.6,383.2,10652514.0
2026-05-14 18:30:00,383.2,393.3,380.5,387.05,19461437.0
2026-05-17 18:30:00,382.0,393.0,380.3,391.8,14575831.0
2026-05-18 18:30:00,388.5,391.8,380.25,381.95,22567886.0
2026-05-19 18:30:00,376.3,384.05,376.3,383.2,12342444.0
2026-05-20 18:30:00,384.7,386.45,377.9,380.85,10133840.0
2026-05-21 18:30:00,381.0,386.3,381.0,384.15,10348359.0
2026-05-24 18:30:00,388.3,395.15,387.25,392.85,15571552.0
2026-05-25 18:30:00,392.85,394.95,387.0,388.65,15059212.0
2026-05-26 18:30:00,388.55,390.5,386.7,388.7,9326451.0
2026-05-28 18:30:00,388.85,392.55,381.25,384.2,40109830.0
2026-05-31 18:30:00,384.15,387.0,375.65,377.4,12335552.0
2026-06-01 18:30:00,373.0,381.55,372.2,379.05,14834956.0
2026-06-02 18:30:00,377.6,383.45,375.1,381.0,14844206.0
2026-06-03 18:30:00,378.5,384.0,377.9,381.5,13889236.0
2026-06-04 18:30:00,381.5,383.7,374.65,377.45,10129597.0
2026-06-07 18:30:00,373.0,378.9,372.7,377.1,14460894.0
2026-06-08 18:30:00,379.7,382.45,377.3,381.7,13987913.0
2026-06-09 18:30:00,380.5,391.2,380.5,388.1,21427363.0
2026-06-10 18:30:00,386.0,399.9,384.55,393.35,16135289.0
2026-06-11 18:30:00,397.75,404.5,394.95,403.3,17227481.0
2026-06-14 18:30:00,408.0,411.0,402.45,405.75,14269679.0
2026-06-15 18:30:00,405.75,408.55,404.5,407.85,9079548.0
2026-06-16 18:30:00,407.85,408.75,402.55,404.5,11654415.0
2026-06-17 18:30:00,403.95,404.25,399.65,402.95,9342524.0
2026-06-18 18:30:00,402.5,403.55,398.0,399.25,17504009.0
2026-06-21 18:30:00,399.25,403.1,398.75,402.15,7158956.0
2026-06-22 18:30:00,398.0,405.0,398.0,401.65,10077909.0
2026-06-23 18:30:00,401.65,407.95,400.2,405.95,11768059.0
2026-06-24 18:30:00,409.5,413.8,407.2,409.0,16587414.0
2026-06-28 18:30:00,402.5,404.85,394.1,395.5,37210245.0
2026-06-29 18:30:00,395.5,397.0,389.9,392.25,24824891.0
2026-06-30 18:30:00,397.35,401.4,393.25,400.45,21723944.0
2026-07-01 18:30:00,400.45,405.0,397.3,399.3,12980945.0
2026-07-02 18:30:00,400.0,401.45,394.55,396.75,14747410.0
2026-07-05 18:30:00,389.75,389.75,380.7,381.3,34164881.0
2026-07-06 18:30:00,381.5,382.9,378.65,381.7,23216875.0
2026-07-07 18:30:00,378.5,381.75,369.1,370.1,22517529.0
2026-07-08 18:30:00,371.5,377.95,368.4,377.15,30720415.0
2026-07-09 18:30:00,377.45,381.15,376.9,377.6,15468937.0
2026-07-12 18:30:00,375.8,385.15,375.1,384.65,14167721.0
2026-07-13 18:30:00,383.5,383.5,376.1,378.65,16237528.0
2026-07-14 18:30:00,379.35,382.8,376.25,378.4,8082156.0
2026-07-15 18:30:00,377.5,381.25,376.55,377.15,10889356.0
